Pagu,LT,BT
2120,-7.24906037126145,111.455253082329
11530,-7.35637929000867,111.504269402641
5200,-7.32460663313691,111.805956952971
2890,-7.32616171942783,111.81030501292
2710,-7.32949153134554,111.838250420113
3620,-7.3244625460404,111.862919998682
2840,-7.32553552563006,111.857371877418
5130,-7.3953537529301,111.849538791655
4710,-7.4022511616026,111.818153402816
6040,-7.42564483806912,111.780251819911
5000,-7.42304186651943,111.887450138419
5230,-7.39398146466281,111.792713647974
7120,-7.41653670782014,111.839646955445
7970,-7.40174206082778,111.843681885441
3560,-7.33911966588409,111.891802519706
1960,-7.31551205846448,111.915763474188
2210,-7.28064482058586,111.903449507253
3840,-7.31131864984857,111.89781614272
1940,-7.34494120494296,111.911807075605
3250,-7.34868538516451,111.902089533411
2110,-7.31115868009039,111.920336913939
1650,-7.28479543255728,111.916603050791
2360,-7.32861637031624,111.923097785967
2840,-7.34064656631195,111.92424837184
3150,-7.42179965456077,111.929318454375
2950,-7.33321907455398,111.917381556045
4030,-7.2293624594856,112.044340980345
960,-7.18167183864713,112.014227785133
1920,-7.17849172855726,112.047452672286
1770,-7.2025514228871,112.002220889233
4150,-7.17960354024879,112.023674694579
3470,-7.18713703661119,112.050955414165
1990,-7.18930803130992,112.016668164324
1950,-7.20891915306473,112.060876212368
2910,-7.27294011399674,111.981496193891
1520,-7.17794589214773,112.034389609862
1320,-7.16246875693633,112.043182129901
4640,-7.22992756813394,112.041962084743
3610,-7.22086391963282,112.020512351019
2150,-7.19650142032995,112.022329433355
2530,-7.18242201786109,111.993219554117
2400,-7.16755780972738,112.028383812136
3530,-7.21419473557367,112.033105185324
1120,-7.20566473748377,112.007120514638
5350,-7.23472345087675,112.048606001148
1130,-7.17467819200932,112.006159652851
1450,-7.17376480418078,111.999186854749
840,-7.17302418711552,112.017526963186
1500,-7.19874037644021,112.056406813012
5050,-7.24441288339221,112.018890910763
1630,-7.1942955464555,112.032798070106
1690,-7.20404389024316,112.039740381662
6440,-7.31344255049616,112.011825169802
3690,-7.24645535227505,112.001241525198
2300,-7.32049677083299,112.042165708054
1860,-7.28872330417242,112.05654408279
1560,-7.31443520727492,112.038472823735
2340,-7.29949505825316,111.995520832898
7300,-7.25420081070036,112.043036577894
4790,-7.30332692584888,112.046900213047
5470,-7.27221901421087,111.981201115065
4860,-7.168303292151,111.647406998037
3950,-7.29436801101659,112.017466094823
3960,-7.32556542741155,112.069705963498
7400,-7.27902452969462,112.013545171871
2030,-7.32492337035706,112.053055176429
2340,-7.23630356658955,112.147933538701
5920,-7.2528408007033,111.994534312184
5230,-7.30843330374075,112.03838704482
3530,-7.25002519316582,112.081059593946
3900,-7.26501387611152,112.047242318854
4600,-7.27608243047378,112.047928562675
5740,-7.26128293360933,112.005157541195
6390,-7.34648464245543,112.054705418743
1830,-7.31227014625227,112.04594722868
2060,-7.17743693876801,112.074513185574
1940,-7.16424153738671,112.075854660624
1700,-7.1589307,112.117766
2590,-7.31986678002943,112.391129373223
3020,-7.16096171833266,112.100396537238
3100,-7.22415954666008,112.074544001148
3520,-7.17564299363716,112.127060925738
2930,-7.1539522280516,112.133778158788
3300,-7.21575855284149,112.090299539472
2430,-7.18883829872933,112.120752742817
